# E_CM [keV], S [MeV.barn], S_error [MeV.barn]
9.386345090216697145e+02,2.794127171223915740e-01,7.449747511662108135e-03
1.198899006515290694e+03,3.195086793444370521e-01,2.301205911687376204e-02
1.440615002007693420e+03,3.514199115134312712e-01,2.842284071122319622e-02
1.663813582373741156e+03,3.765009131769491701e-01,3.386248868937358214e-02
1.900830278616115947e+03,4.036569637375305719e-01,8.804247059237102491e-03
2.133287566545340724e+03,4.321530806537866032e-01,9.474280237074306221e-03
2.370273175912853276e+03,4.579546316667931771e-01,1.082877978464946711e-02
2.602528399155472925e+03,4.776465015238119394e-01,1.151324615438720222e-02
2.745097988420138336e+03,4.896071766271111736e-01,1.151324615438698018e-02
2.931494890094944367e+03,5.111864638864885846e-01,1.286774570196203005e-02
