E_CM [keV], S [MeV.barn]
2.372336575586649, 0.054800693240901206
3.3040065733344326, 0.06755632582322355
3.937354455695407, 0.060485268630849215
5.519376064819494, 0.08571923743500867
4.722685208839247, 0.05369150779896016
5.105514244749931, 0.05577123050259967
5.4836422188315685, 0.05632582322357018
5.039619448972099, 0.05036395147313695
6.123842005720559, 0.0607625649913345
6.9733500544591065, 0.07684575389948008
8.096952279129766, 0.0761525129982669
9.280255722026055, 0.0708838821490468
6.663391731070632, 0.05188908145580591
10.032529310877212, 0.05701906412478337
10.032529310877212, 0.05355285961871749
10.032529310877212, 0.05161178509532065
12.675407146524321, 0.06714038128249566
12.593343333243837, 0.0624263431542461
13.702897585352854, 0.060623916811091805
12.43080617296513, 0.05854419410745227
12.19092533467058, 0.056880415944540616
12.430806172965106, 0.05618717504332757
12.924821133449935, 0.05438474870017333
12.430806172965118, 0.05396880415944542
15.105166923367765, 0.061455805892547656
14.910210677651861, 0.06256499133448874
15.105166923367749, 0.058544194107452305
15.007372226626218, 0.05355285961871751
14.813678177284912, 0.04287694974003467
17.425480695096894, 0.056325823223570194
18.594885649869983, 0.05757365684575391
19.71430095942092, 0.05840554592720977
19.972072374262268, 0.06034662045060667
19.333868429564397, 0.06173310225303305
19.97207237426223, 0.05480069324090122
20.765786185537742, 0.05632582322357021
22.303755581788955, 0.05660311958405544
24.11173660719854, 0.05660311958405544
26.236135122375046, 0.05688041594454075
20.102219260182462, 0.06977469670710572
25.069965578150576, 0.07102253032928943
24.586183249376035, 0.0690814558058925
24.11173660719849, 0.06533795493934144
25.069965578150576, 0.06256499133448874
29.109439988016806, 0.054662045060658596
29.875648998374515, 0.05840554592720971
30.07033198415195, 0.06478336221837089
30.07033198415195, 0.07157712305025998
34.91550563098089, 0.0708838821490468
34.91550563098089, 0.06575389948006932
34.689453757335144, 0.059653379549393426
34.689453757335144, 0.054384748700173305
40.01812160293088, 0.05896013864818022
40.01812160293085, 0.06214904679376083
40.018121602930805, 0.06575389948006932
41.07146530732291, 0.07337954939341423
39.50162398407712, 0.0736568457538995
40.01812160293088, 0.06908145580589253
44.69012460741436, 0.06880415944540727
43.54397457231139, 0.06062391681109186
44.400789361700475, 0.05965337954939343
44.69012460741436, 0.06103986135181976
49.584456485249575, 0.062149046793760834
49.584456485249476, 0.05951473136915079
49.90757080612079, 0.07629116117850954
51.890956780982094, 0.0736568457538995
54.65862145935856, 0.0729636048526863
58.32670177657062, 0.07268630849220103
49.90757080612069, 0.07019064124783356
49.90757080612069, 0.06811091854419399
55.01480129079135, 0.06866551126516454
59.47439628974459, 0.06866551126516465
54.30474762684513, 0.06492201039861353
59.86195784690551, 0.06603119584055461
64.7144717445847, 0.06894280762564993
63.87922837926363, 0.07116117850953207
69.96033881636805, 0.06894280762564994
56.097327537975445, 0.07864818024263433
63.87922837926363, 0.07448873483535529
69.96033881636805, 0.07809358752166379
73.69175505227503, 0.07892547660311959
75.63144495126896, 0.07698440207972271
77.11964489657917, 0.07961871750433276
74.65530065305843, 0.07060658578856153
79.66533624469213, 0.06991334488734835
84.4612031681035, 0.07199306759098788
89.54578210393173, 0.07421143847487002
94.93645356490686, 0.07407279029462739
99.35257453798646, 0.07656845753899481
109.51969926906378, 0.07712305025996535
123.90500727954736, 0.07906412478336222
75.63144495126896, 0.08350086655112653
83.37109677193885, 0.08322357019064125
86.12314626619708, 0.0841941074523397
92.50165570874, 0.08696707105719238
95.5551016230678, 0.08821490467937608
102.6321667839475, 0.08752166377816292
104.65165993383181, 0.08571923743500867
100.65164437360997, 0.09057192374350087
102.6321667839475, 0.08974003466204507
112.40244041510327, 0.0934835355285962
116.11280397363933, 0.09265164644714038
134.8218324662078, 0.09001733102253033
122.30581574679792, 0.09861351819757366
125.52510880372117, 0.09764298093587521
127.99506637463774, 0.0951473136915078
135.7003913518717, 0.09445407279029464
